model_name,model_file,valid_predictions_count,invalid_predictions_count,total_recipes,MAE,accuracy_percent,recipe_type,reasoning_level,failed_recipes
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.17772727272727273,9.090909090909092,anytime_meals,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.1012,20.0,breakfast,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.036671999999999996,0.0,desserts,medium,
cot__gpt_5_4_mini__reasoning_medium,cot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.15794800000000003,20.0,snacks,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,9,0,9,0.09111111111111111,0.0,anytime_meals,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.13999999999999999,20.0,breakfast,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.028000000000000008,0.0,desserts,medium,
few_shot__gpt_5_4_mini__reasoning_medium,few_shot__gpt_5_4_mini__reasoning_medium.jsonl,4,0,4,0.08249999999999999,0.0,snacks,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.11363636363636366,9.090909090909092,anytime_meals,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.10459999999999998,0.0,breakfast,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.033,20.0,desserts,medium,
gpt_5_4_mini__reasoning_medium,gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.184,20.0,snacks,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,11,0,11,0.17700000000000002,9.090909090909092,anytime_meals,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.096,0.0,breakfast,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.026000000000000002,0.0,desserts,medium,
persona__gpt_5_4_mini__reasoning_medium,persona__gpt_5_4_mini__reasoning_medium.jsonl,5,0,5,0.137,0.0,snacks,medium,
